dish_name,normalized_name,source_site,source_url,source_type,rating,review_count,recipe_count,quality_filter,note
豆腐あんかけ,豆腐あんかけ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-315-2110/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
豆腐チャンプルー,豆腐チャンプルー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-315-2111/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
豆腐丼,豆腐丼,楽天レシピ,https://recipe.rakuten.co.jp/category/30-315-2112/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
和え物,和え物,楽天レシピ,https://recipe.rakuten.co.jp/category/30-316/,category_with_recipe_count,,,19513,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
白和え,白和え,楽天レシピ,https://recipe.rakuten.co.jp/category/30-316-1239/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ほうれん草の胡麻和え,ほうれん草の胡麻和え,楽天レシピ,https://recipe.rakuten.co.jp/category/30-316-1234/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ほうれん草のおひたし,ほうれん草のおひたし,楽天レシピ,https://recipe.rakuten.co.jp/category/30-316-1235/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ピリ辛 きゅうり,ピリ辛きゅうり,楽天レシピ,https://recipe.rakuten.co.jp/category/30-316-2115/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
菜の花のおひたし,菜の花のおひたし,楽天レシピ,https://recipe.rakuten.co.jp/category/30-316-1236/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
菜の花のからしあえ,菜の花のからしあえ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-316-1237/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
小松菜のおひたし,小松菜のおひたし,楽天レシピ,https://recipe.rakuten.co.jp/category/30-316-1238/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
その他の和え物,その他の和え物,楽天レシピ,https://recipe.rakuten.co.jp/category/30-316-1240/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ゴーヤ おひたし,ゴーヤおひたし,楽天レシピ,https://recipe.rakuten.co.jp/category/30-316-2113/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
なす おひたし,なすおひたし,楽天レシピ,https://recipe.rakuten.co.jp/category/30-316-2114/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
酢の物,酢の物,楽天レシピ,https://recipe.rakuten.co.jp/category/30-317/,category_with_recipe_count,,,7670,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
わかめの酢の物,わかめの酢の物,楽天レシピ,https://recipe.rakuten.co.jp/category/30-317-1241/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
きゅうりの酢の物,きゅうりの酢の物,楽天レシピ,https://recipe.rakuten.co.jp/category/30-317-1242/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
